"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2013,2,5,18,6,2013-05-18,"AA",19790,"AA","N920DN","1438",10397,1039705,30397,"JFK","Atlanta, GA","GA","13","Georgia",34,11278,1127802,30852,"SEA","Washington, DC","VA","51","Virginia",38,"2145","2142",-3.00,0.00,0.00,-1,"2100-2159",20.00,"2202","2324",7.00,"2331","2331",0.00,0.00,0.00,0,"2300-2359",0.00,"",0.00,106.00,109.00,82.00,1.00,547.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N910DN","1439",11278,1127802,30852,"DCA","Washington, DC","VA","51","Virginia",38,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1259","1253",-6.00,0.00,0.00,-1,"1200-1259",13.00,"1306","1426",6.00,"1448","1432",-16.00,0.00,0.00,-2,"1400-1459",0.00,"",0.00,109.00,99.00,80.00,1.00,547.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N137DL","1444",14771,1477101,32457,"SFO","San Francisco, CA","CA","06","California",91,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"2359","2353",-6.00,0.00,0.00,-1,"2300-2359",29.00,"0022","0749",10.00,"0728","0759",31.00,31.00,1.00,2,"0700-0759",0.00,"",0.00,269.00,306.00,267.00,1.00,2079.00,9,0.00,0.00,31.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N6715C","1446",14107,1410702,30466,"PHX","Phoenix, AZ","AZ","04","Arizona",81,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0715","0730",15.00,15.00,1.00,1,"0700-0759",20.00,"0750","1356",12.00,"1350","1408",18.00,18.00,1.00,1,"1300-1359",0.00,"",0.00,215.00,218.00,186.00,1.00,1587.00,7,15.00,0.00,3.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N542US","1452",10140,1014002,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0630","0628",-2.00,0.00,0.00,-1,"0600-0659",16.00,"0644","1117",7.00,"1124","1124",0.00,0.00,0.00,0,"1100-1159",0.00,"",0.00,174.00,176.00,153.00,1.00,1269.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N858NW","1453",13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,"0910","0927",17.00,17.00,1.00,1,"0900-0959",34.00,"1001","1059",5.00,"1055","1104",9.00,9.00,0.00,0,"1000-1059",0.00,"",0.00,225.00,217.00,178.00,1.00,1399.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N858NW","1453",14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,"1300","1257",-3.00,0.00,0.00,-1,"1300-1359",17.00,"1314","1800",3.00,"1814","1803",-11.00,0.00,0.00,-1,"1800-1859",0.00,"",0.00,194.00,186.00,166.00,1.00,1399.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N957DL","1456",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0600","0600",0.00,0.00,0.00,0,"0600-0659",12.00,"0612","0704",6.00,"0722","0710",-12.00,0.00,0.00,-1,"0700-0759",0.00,"",0.00,82.00,70.00,52.00,1.00,356.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N673DL","1457",14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,"1440","1438",-2.00,0.00,0.00,-1,"1400-1459",19.00,"1457","1533",15.00,"1543","1548",5.00,5.00,0.00,0,"1500-1559",0.00,"",0.00,123.00,130.00,96.00,1.00,689.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,18,6,2013-05-18,"DL",19790,"DL","N673DL","1457",14747,1474703,30559,"SEA","Seattle, WA","WA","53","Washington",93,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,"1633","1638",5.00,5.00,0.00,0,"1600-1659",23.00,"1701","1927",10.00,"1926","1937",11.00,11.00,0.00,0,"1900-1959",0.00,"",0.00,113.00,119.00,86.00,1.00,689.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
